target_id	length	eff_length	est_counts	tpm
lcl|NC_002945.4_trna_BQ2027_RS00040_1	74	10.1071	32	277.702
lcl|NC_002945.4_trna_BQ2027_RS00045_2	73	9.44444	26	241.465
lcl|NC_002945.4_trna_BQ2027_RS00130_3	83	11.9811	81	592.986
lcl|NC_002945.4_trna_BQ2027_RS01685_4	71	9.66667	20	181.472
lcl|NC_002945.4_trna_BQ2027_RS02965_5	84	12.3393	12	85.2999
lcl|NC_002945.4_trna_BQ2027_RS03325_6	73	9.44444	35	325.049
lcl|NC_002945.4_trna_BQ2027_RS03330_7	74	10.1071	67	581.438
lcl|NC_002945.4_trna_BQ2027_RS03355_8	73	9.44444	328	3046.17
lcl|NC_002945.4_trna_BQ2027_RS03990_9	72	9.12	101	971.368
lcl|NC_002945.4_trna_BQ2027_RS04370_10	73	9.44444	3	27.8613
lcl|NC_002945.4_trna_BQ2027_RS04375_11	74	10.1071	102	885.175
lcl|NC_002945.4_trna_BQ2027_RS04380_12	77	12.0968	13	94.2608
lcl|NC_002945.4_trna_BQ2027_RS04385_13	77	12.0968	36	261.03
lcl|NC_002945.4_trna_BQ2027_RS04835_14	73	9.44444	8	74.2969
lcl|NC_002945.4_trna_BQ2027_RS05235_15	76	11.0968	42	331.978
lcl|NC_002945.4_trna_BQ2027_RS05360_16	72	9.12	21	201.968
lcl|NC_002945.4_trna_BQ2027_RS05550_17	74	10.1071	26	225.633
lcl|NC_002945.4_trna_BQ2027_RS06755_18	73	9.44444	4	37.1485
lcl|NC_002945.4_rrna_BQ2027_RS06880_19	1532	1337.58	67447	4422.83
lcl|NC_002945.4_rrna_BQ2027_RS06885_20	3138	2943.58	76389	2276.21
lcl|NC_002945.4_rrna_BQ2027_RS06890_21	113	13.5307	1343	8705.87
lcl|NC_002945.4_trna_BQ2027_RS07060_22	84	12.3393	9	63.9749
lcl|NC_002945.4_trna_BQ2027_RS08425_23	77	12.0968	3	21.7525
lcl|NC_002945.4_trna_BQ2027_RS08910_24	74	10.1071	15	130.173
lcl|NC_002945.4_trna_BQ2027_RS11020_25	86	12.2388	15	107.5
lcl|NC_002945.4_ncrna_BQ2027_RS11465_26	429	234.662	528875	197682
lcl|NC_002945.4_trna_BQ2027_RS11530_27	72	9.12	31	298.143
lcl|NC_002945.4_trna_BQ2027_RS11900_28	74	10.1071	29	251.667
lcl|NC_002945.4_trna_BQ2027_RS12085_29	73	9.44444	19	176.455
lcl|NC_002945.4_trna_BQ2027_RS12690_30	77	12.0968	53	384.294
lcl|NC_002945.4_trna_BQ2027_RS12695_31	71	9.66667	10	90.7362
lcl|NC_002945.4_trna_BQ2027_RS12810_32	74	10.1071	4	34.7127
lcl|NC_002945.4_trna_BQ2027_RS12950_33	76	11.0968	13	102.755
lcl|NC_002945.4_trna_BQ2027_RS12990_34	73	9.44444	27	250.752
lcl|NC_002945.4_trna_BQ2027_RS13660_35	72	9.12	68	653.99
lcl|NC_002945.4_trna_BQ2027_RS13665_36	73	9.44444	16	148.594
lcl|NC_002945.4_trna_BQ2027_RS13670_37	74	10.1071	5	43.3909
lcl|NC_002945.4_trna_BQ2027_RS13675_38	75	10.4333	8	67.2549
lcl|NC_002945.4_trna_BQ2027_RS15390_39	73	9.44444	3	27.8613
lcl|NC_002945.4_trna_BQ2027_RS15395_40	72	9.12	16	153.88
lcl|NC_002945.4_trna_BQ2027_RS15800_41	73	9.44444	35	325.049
lcl|NC_002945.4_tmrna_BQ2027_RS15965_42	368	174.97	1.54132e+06	772655
lcl|NC_002945.4_trna_BQ2027_RS16430_43	77	12.0968	11	79.7591
lcl|NC_002945.4_trna_BQ2027_RS18685_44	76	11.0968	17	134.372
lcl|NC_002945.4_trna_BQ2027_RS18900_45	74	10.1071	42	364.484
lcl|NC_002945.4_ncrna_BQ2027_RS19110_46	95	10.4072	90	758.517
lcl|NC_002945.4_trna_BQ2027_RS19115_47	89	10.6961	77	631.427
lcl|NC_002945.4_trna_BQ2027_RS19255_48	90	10.5702	8	66.3842
lcl|NC_002945.4_trna_BQ2027_RS19365_49	73	9.44444	14	130.02
lcl|NC_002945.4_trna_BQ2027_RS19370_50	89	10.6961	35	287.012
lcl|NC_002945.4_trna_BQ2027_RS19400_51	87	11.25	4	31.1864
