target_id	length	eff_length	est_counts	tpm
lcl|NC_002945.4_trna_BQ2027_RS00040_1	74	9.75	59	608.624
lcl|NC_002945.4_trna_BQ2027_RS00045_2	73	9.65517	47	489.598
lcl|NC_002945.4_trna_BQ2027_RS00130_3	83	10.2667	75	734.739
lcl|NC_002945.4_trna_BQ2027_RS01685_4	71	9.86957	7	71.3348
lcl|NC_002945.4_trna_BQ2027_RS02965_5	84	10.7468	8	74.8705
lcl|NC_002945.4_trna_BQ2027_RS03325_6	73	9.65517	23	239.59
lcl|NC_002945.4_trna_BQ2027_RS03330_7	74	9.75	55	567.361
lcl|NC_002945.4_trna_BQ2027_RS03355_8	73	9.65517	509	5302.24
lcl|NC_002945.4_trna_BQ2027_RS03990_9	72	10.4583	62	596.253
lcl|NC_002945.4_trna_BQ2027_RS04370_10	73	9.65517	7	72.9188
lcl|NC_002945.4_trna_BQ2027_RS04375_11	74	9.75	51	526.098
lcl|NC_002945.4_trna_BQ2027_RS04380_12	77	10.8205	66	613.476
lcl|NC_002945.4_trna_BQ2027_RS04385_13	77	10.8205	22	204.492
lcl|NC_002945.4_trna_BQ2027_RS04835_14	73	9.65517	11	114.587
lcl|NC_002945.4_trna_BQ2027_RS05235_15	76	10.0789	35	349.264
lcl|NC_002945.4_trna_BQ2027_RS05360_16	72	10.4583	13	125.021
lcl|NC_002945.4_trna_BQ2027_RS05550_17	74	9.75	27	278.523
lcl|NC_002945.4_trna_BQ2027_RS06755_18	73	9.65517	6	62.5018
lcl|NC_002945.4_rrna_BQ2027_RS06880_19	1532	1343.65	105457	7893.89
lcl|NC_002945.4_rrna_BQ2027_RS06885_20	3138	2949.65	107730	3673.4
lcl|NC_002945.4_rrna_BQ2027_RS06890_21	113	13.7265	1765	12932.6
lcl|NC_002945.4_trna_BQ2027_RS07060_22	84	10.7468	7	65.5117
lcl|NC_002945.4_trna_BQ2027_RS08425_23	77	10.8205	9	83.6558
lcl|NC_002945.4_trna_BQ2027_RS08910_24	74	9.75	7	72.2096
lcl|NC_002945.4_trna_BQ2027_RS11020_25	86	10.6392	9	85.0817
lcl|NC_002945.4_ncrna_BQ2027_RS11465_26	429	240.673	370935	155015
lcl|NC_002945.4_trna_BQ2027_RS11530_27	72	10.4583	17	163.489
lcl|NC_002945.4_trna_BQ2027_RS11900_28	74	9.75	21	216.629
lcl|NC_002945.4_trna_BQ2027_RS12085_29	73	9.65517	23	239.59
lcl|NC_002945.4_trna_BQ2027_RS12690_30	77	10.8205	31	288.148
lcl|NC_002945.4_trna_BQ2027_RS12695_31	71	9.86957	30	305.721
lcl|NC_002945.4_trna_BQ2027_RS12810_32	74	9.75	4	41.2626
lcl|NC_002945.4_trna_BQ2027_RS12950_33	76	10.0789	14	139.706
lcl|NC_002945.4_trna_BQ2027_RS12990_34	73	9.65517	19	197.922
lcl|NC_002945.4_trna_BQ2027_RS13660_35	72	10.4583	35	336.595
lcl|NC_002945.4_trna_BQ2027_RS13665_36	73	9.65517	28	291.675
lcl|NC_002945.4_trna_BQ2027_RS13670_37	74	9.75	4	41.2626
lcl|NC_002945.4_trna_BQ2027_RS13675_38	75	10.4545	14	134.687
lcl|NC_002945.4_trna_BQ2027_RS15390_39	73	9.65517	6	62.5018
lcl|NC_002945.4_trna_BQ2027_RS15395_40	72	10.4583	20	192.34
lcl|NC_002945.4_trna_BQ2027_RS15800_41	73	9.65517	18	187.505
lcl|NC_002945.4_tmrna_BQ2027_RS15965_42	368	180.244	1.43916e+06	803063
lcl|NC_002945.4_trna_BQ2027_RS16430_43	77	10.8205	23	213.787
lcl|NC_002945.4_trna_BQ2027_RS18685_44	76	10.0789	10	99.7898
lcl|NC_002945.4_trna_BQ2027_RS18900_45	74	9.75	87	897.462
lcl|NC_002945.4_ncrna_BQ2027_RS19110_46	95	11.1222	63	569.708
lcl|NC_002945.4_trna_BQ2027_RS19115_47	89	10.9134	37	340.992
lcl|NC_002945.4_trna_BQ2027_RS19255_48	90	10.625	15	141.992
lcl|NC_002945.4_trna_BQ2027_RS19365_49	73	9.65517	17	177.089
lcl|NC_002945.4_trna_BQ2027_RS19370_50	89	10.9134	60	552.959
lcl|NC_002945.4_trna_BQ2027_RS19400_51	87	10.3818	26	251.884
