target_id	length	eff_length	est_counts	tpm
lcl|NC_002945.4_trna_BQ2027_RS00040_1	74	16.5455	73	653.134
lcl|NC_002945.4_trna_BQ2027_RS00045_2	73	19	32	249.318
lcl|NC_002945.4_trna_BQ2027_RS00130_3	83	16.1053	110	1011.07
lcl|NC_002945.4_trna_BQ2027_RS01685_4	71	25.5	15	87.0781
lcl|NC_002945.4_trna_BQ2027_RS02965_5	84	17.1053	14	121.159
lcl|NC_002945.4_trna_BQ2027_RS03325_6	73	19	35	272.692
lcl|NC_002945.4_trna_BQ2027_RS03330_7	74	16.5455	71	635.24
lcl|NC_002945.4_trna_BQ2027_RS03355_8	73	19	645	5025.33
lcl|NC_002945.4_trna_BQ2027_RS03990_9	72	18	62	509.891
lcl|NC_002945.4_trna_BQ2027_RS04370_10	73	19	8	62.3296
lcl|NC_002945.4_trna_BQ2027_RS04375_11	74	16.5455	32	286.305
lcl|NC_002945.4_trna_BQ2027_RS04380_12	77	19.5455	76	575.607
lcl|NC_002945.4_trna_BQ2027_RS04385_13	77	19.5455	35	265.082
lcl|NC_002945.4_trna_BQ2027_RS04835_14	73	19	20	155.824
lcl|NC_002945.4_trna_BQ2027_RS05235_15	76	18.5455	54	431.037
lcl|NC_002945.4_trna_BQ2027_RS05360_16	72	18	28	230.273
lcl|NC_002945.4_trna_BQ2027_RS05550_17	74	16.5455	34	304.199
lcl|NC_002945.4_trna_BQ2027_RS06755_18	73	19	18	140.242
lcl|NC_002945.4_rrna_BQ2027_RS06880_19	1532	1321.47	137629	15417.3
lcl|NC_002945.4_rrna_BQ2027_RS06885_20	3138	2927.47	327004	16535.5
lcl|NC_002945.4_rrna_BQ2027_RS06890_21	113	11.2867	735	9640
lcl|NC_002945.4_trna_BQ2027_RS07060_22	84	17.1053	9	77.888
lcl|NC_002945.4_trna_BQ2027_RS08425_23	77	19.5455	8	60.5902
lcl|NC_002945.4_trna_BQ2027_RS08910_24	74	16.5455	12	107.364
lcl|NC_002945.4_trna_BQ2027_RS11020_25	86	15.4167	17	163.236
lcl|NC_002945.4_ncrna_BQ2027_RS11465_26	429	219.068	224817	151918
lcl|NC_002945.4_trna_BQ2027_RS11530_27	72	18	27	222.049
lcl|NC_002945.4_trna_BQ2027_RS11900_28	74	16.5455	32	286.305
lcl|NC_002945.4_trna_BQ2027_RS12085_29	73	19	14	109.077
lcl|NC_002945.4_trna_BQ2027_RS12690_30	77	19.5455	69	522.59
lcl|NC_002945.4_trna_BQ2027_RS12695_31	71	25.5	17	98.6886
lcl|NC_002945.4_trna_BQ2027_RS12810_32	74	16.5455	11	98.4174
lcl|NC_002945.4_trna_BQ2027_RS12950_33	76	18.5455	28	223.501
lcl|NC_002945.4_trna_BQ2027_RS12990_34	73	19	46	358.395
lcl|NC_002945.4_trna_BQ2027_RS13660_35	72	18	60	493.443
lcl|NC_002945.4_trna_BQ2027_RS13665_36	73	19	61	475.263
lcl|NC_002945.4_trna_BQ2027_RS13670_37	74	16.5455	4	35.7882
lcl|NC_002945.4_trna_BQ2027_RS13675_38	75	17.5455	19	160.305
lcl|NC_002945.4_trna_BQ2027_RS15390_39	73	19	15	116.868
lcl|NC_002945.4_trna_BQ2027_RS15395_40	72	18	10	82.2405
lcl|NC_002945.4_trna_BQ2027_RS15800_41	73	19	29	225.945
lcl|NC_002945.4_tmrna_BQ2027_RS15965_42	368	159.693	848280	786341
lcl|NC_002945.4_trna_BQ2027_RS16430_43	77	19.5455	56	424.131
lcl|NC_002945.4_trna_BQ2027_RS18685_44	76	18.5455	27	215.518
lcl|NC_002945.4_trna_BQ2027_RS18900_45	74	16.5455	154	1377.84
lcl|NC_002945.4_ncrna_BQ2027_RS19110_46	95	12.9623	147	1678.78
lcl|NC_002945.4_trna_BQ2027_RS19115_47	89	16.5185	52	466.005
lcl|NC_002945.4_trna_BQ2027_RS19255_48	90	16.9286	14	122.424
lcl|NC_002945.4_trna_BQ2027_RS19365_49	73	19	12	93.4944
lcl|NC_002945.4_trna_BQ2027_RS19370_50	89	16.5185	31	277.81
lcl|NC_002945.4_trna_BQ2027_RS19400_51	87	16.4167	62	559.068
